[0000] system:
You are an expert software engineer, and you are interacting with a
standard Ubuntu machine with bash commands and python tools.
Your bash session and python session are NOT stateful, so all commands must be self-contained.
You will be given an issue to fix.
Your objective is to modify the code on the file system to fix the issue.
The repository code is already checked out to the current working directory.
You do NOT need to change branches or commit the fix.
**DO NOT MODIFY THE TESTS.**

IMPORTANT: You can submit *multiple* times and receive feedback about test results.
After each submission, you'll see which tests passed or failed.
Use this feedback to iterate and improve your solution.

**DO NOT MODIFY THE TESTS.** If you find any tests that are logically flawed or inconsistent with the function's documented behavior, STOP. Do NOT try to carve out the code to pass the tests.

TOOLS AVAILABLE:
- bash: Execute shell commands
- python: Execute Python code
- text_editor: Edit files
- think: Log thoughts and reasoning

TEST COMMAND THAT WILL BE RUN FOR EVALUATION:
pytest -rA testing/test_skipping.py


Some tips:
1. First, understand the issue by reading the problem statement carefully
2. Explore the repository structure to understand the codebase
3. Look at the failing tests to understand what behavior is expected
4. Examine the test files to understand the test cases
5. Identify the root cause of the issue
6. Implement a fix
7. Submit your solution
8. If tests fail, analyze the feedback and iterate

After implementing the fix, use your submit tool to submit it. **You could submit up to 10 times.**

[0001] user:
Please solve the following coding issue:

Pytest 6: Dynamically adding xfail marker in test no longer ignores failure
<!--
Thanks for submitting an issue!

Here's a quick checklist for what to provide:
-->

## Description

With pytest 5.x, we can dynamically add an xfail to a test `request` object using `request.node.add_marker(mark)` (see example below). In 5.x this treated the failing test like a a test marked statically with an `xfail`. With 6.0.0rc0 it raises. 

## Versions

<details>

```
$ pip list
Package                       Version                         Location                                                      
----------------------------- ------------------------------- --------------------------------------------------------------
a                             1.0                             
E           and: 'INTERNALERROR> SyntaxError: unexpected EOF while parsing'
E           and: 'INTERNALERROR> '
E           and: 'INTERNALERROR> During handling of the above exception, another exception occurred:'
E           and: 'INTERNALERROR> '
E           and: 'INTERNALERROR> Traceback (most recent call last):'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 240, in wrap_session'
E           and: 'INTERNALERROR>     session.exitstatus = doit(config, session) or 0'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 296, in _main'
E           and: 'INTERNALERROR>     config.hook.pytest_runtestloop(session=session)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__'
E           and: 'INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec'
E           and: 'INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec'
E           and: 'INTERNALERROR>     return outcome.get_result()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result'
E           and: 'INTERNALERROR>     raise ex[1].with_traceback(ex[2])'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call'
E           and: 'INTERNALERROR>     result = func()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>'
E           and: 'INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>'
E           and: 'INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall('
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 208, in _multicall'
E           and: 'INTERNALERROR>     return outcome.get_result()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result'
E           and: 'INTERNALERROR>     raise ex[1].with_traceback(ex[2])'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 187, in _multicall'
E           and: 'INTERNALERROR>     res = hook_impl.function(*args)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 321, in pytest_runtestloop'
E           and: 'INTERNALERROR>     item.config.hook.pytest_runtest_protocol(item=item, nextitem=nextitem)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__'
E           and: 'INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec'
E           and: 'INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec'
E           and: 'INTERNALERROR>     return outcome.get_result()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result'
E           and: 'INTERNALERROR>     raise ex[1].with_traceback(ex[2])'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call'
E           and: 'INTERNALERROR>     result = func()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>'
E           and: 'INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>'
E           and: 'INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall('
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 208, in _multicall'
E           and: 'INTERNALERROR>     return outcome.get_result()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result'
E           and: 'INTERNALERROR>     raise ex[1].with_traceback(ex[2])'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 187, in _multicall'
E           and: 'INTERNALERROR>     res = hook_impl.function(*args)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 100, in pytest_runtest_protocol'
E           and: 'INTERNALERROR>     runtestprotocol(item, nextitem=nextitem)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 111, in runtestprotocol'
E           and: 'INTERNALERROR>     rep = call_and_report(item, "setup", log)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 209, in call_and_report'
E           and: 'INTERNALERROR>     report = hook.pytest_runtest_makereport(item=item, call=call)  # type: TestReport'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__'
E           and: 'INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec'
E           and: 'INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec'
E           and: 'INTERNALERROR>     return outcome.get_result()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result'
E           and: 'INTERNALERROR>     raise ex[1].with_traceback(ex[2])'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call'
E           and: 'INTERNALERROR>     result = func()'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>'
E           and: 'INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))'
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>'
E           and: 'INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall('
E           and: 'INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 203, in _multicall'
E           and: 'INTERNALERROR>     gen.send(outcome)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 266, in pytest_runtest_makereport'
E           and: 'INTERNALERROR>     item._store[xfailed_key] = xfailed = evaluate_xfail_marks(item)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 218, in evaluate_xfail_marks'
E           and: 'INTERNALERROR>     result, reason = evaluate_condition(item, mark, condition)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 117, in evaluate_condition'
E           and: 'INTERNALERROR>     fail("\\n".join(msglines), pytrace=False)'
E           and: 'INTERNALERROR>   File "/testbed/src/_pytest/outcomes.py", line 156, in fail'
E           and: 'INTERNALERROR>     raise Failed(msg=msg, pytrace=pytrace)'
E           and: "INTERNALERROR> Failed: Error evaluating 'xfail' condition"
E           and: 'INTERNALERROR>     syntax error'
E           and: 'INTERNALERROR>             ^'
E           and: 'INTERNALERROR> SyntaxError: invalid syntax'
E           and: ''
E           and: '=============================== 1 error in 0.01s ==============================='
E       remains unmatched: '*ERROR*test_nameerror*'

/testbed/testing/test_skipping.py:969: Failed
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_errors_in_xfail_skip_expressions0
collected 3 items

test_errors_in_xfail_skip_expressions.py E
INTERNALERROR> Traceback (most recent call last):
INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 108, in evaluate_condition
INTERNALERROR>     condition_code = compile(condition, filename, "eval")
INTERNALERROR>   File "<xfail condition>", line 1
INTERNALERROR>     syntax error
INTERNALERROR>            ^
INTERNALERROR> SyntaxError: unexpected EOF while parsing
INTERNALERROR> 
INTERNALERROR> During handling of the above exception, another exception occurred:
INTERNALERROR> 
INTERNALERROR> Traceback (most recent call last):
INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 240, in wrap_session
INTERNALERROR>     session.exitstatus = doit(config, session) or 0
INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 296, in _main
INTERNALERROR>     config.hook.pytest_runtestloop(session=session)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__
INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec
INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec
INTERNALERROR>     return outcome.get_result()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result
INTERNALERROR>     raise ex[1].with_traceback(ex[2])
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call
INTERNALERROR>     result = func()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>
INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>
INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall(
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 208, in _multicall
INTERNALERROR>     return outcome.get_result()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result
INTERNALERROR>     raise ex[1].with_traceback(ex[2])
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 187, in _multicall
INTERNALERROR>     res = hook_impl.function(*args)
INTERNALERROR>   File "/testbed/src/_pytest/main.py", line 321, in pytest_runtestloop
INTERNALERROR>     item.config.hook.pytest_runtest_protocol(item=item, nextitem=nextitem)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__
INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec
INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec
INTERNALERROR>     return outcome.get_result()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result
INTERNALERROR>     raise ex[1].with_traceback(ex[2])
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call
INTERNALERROR>     result = func()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>
INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>
INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall(
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 208, in _multicall
INTERNALERROR>     return outcome.get_result()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result
INTERNALERROR>     raise ex[1].with_traceback(ex[2])
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 187, in _multicall
INTERNALERROR>     res = hook_impl.function(*args)
INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 100, in pytest_runtest_protocol
INTERNALERROR>     runtestprotocol(item, nextitem=nextitem)
INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 111, in runtestprotocol
INTERNALERROR>     rep = call_and_report(item, "setup", log)
INTERNALERROR>   File "/testbed/src/_pytest/runner.py", line 209, in call_and_report
INTERNALERROR>     report = hook.pytest_runtest_makereport(item=item, call=call)  # type: TestReport
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/hooks.py", line 286, in __call__
INTERNALERROR>     return self._hookexec(self, self.get_hookimpls(), kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 93, in _hookexec
INTERNALERROR>     return self._inner_hookexec(hook, methods, kwargs)
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 337, in traced_hookexec
INTERNALERROR>     return outcome.get_result()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 80, in get_result
INTERNALERROR>     raise ex[1].with_traceback(ex[2])
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 52, in from_call
INTERNALERROR>     result = func()
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 335, in <lambda>
INTERNALERROR>     outcome = _Result.from_call(lambda: oldcall(hook, hook_impls, kwargs))
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/manager.py", line 84, in <lambda>
INTERNALERROR>     self._inner_hookexec = lambda hook, methods, kwargs: hook.multicall(
INTERNALERROR>   File "/opt/miniconda3/envs/testbed/lib/python3.9/site-packages/pluggy/callers.py", line 203, in _multicall
INTERNALERROR>     gen.send(outcome)
INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 266, in pytest_runtest_makereport
INTERNALERROR>     item._store[xfailed_key] = xfailed = evaluate_xfail_marks(item)
INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 218, in evaluate_xfail_marks
INTERNALERROR>     result, reason = evaluate_condition(item, mark, condition)
INTERNALERROR>   File "/testbed/src/_pytest/skipping.py", line 117, in evaluate_condition
INTERNALERROR>     fail("\n".join(msglines), pytrace=False)
INTERNALERROR>   File "/testbed/src/_pytest/outcomes.py", line 156, in fail
INTERNALERROR>     raise Failed(msg=msg, pytrace=pytrace)
INTERNALERROR> Failed: Error evaluating 'xfail' condition
INTERNALERROR>     syntax error
INTERNALERROR>             ^
INTERNALERROR> SyntaxError: invalid syntax

=============================== 1 error in 0.01s ===============================
==================================== PASSES ====================================
________________________ TestEvaluation.test_no_marker _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_no_marker0
collected 0 items

============================ no tests ran in 0.00s =============================
___________________ TestEvaluation.test_marked_xfail_no_args ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_xfail_no_args0
collected 0 items

============================ no tests ran in 0.00s =============================
__________________ TestEvaluation.test_marked_skipif_no_args ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_skipif_no_args0
collected 0 items

============================ no tests ran in 0.00s =============================
______________________ TestEvaluation.test_marked_one_arg ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_one_arg0
collected 0 items

============================ no tests ran in 0.00s =============================
________________ TestEvaluation.test_marked_one_arg_with_reason ________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_one_arg_with_reason0
collected 0 items

============================ no tests ran in 0.00s =============================
___________________ TestEvaluation.test_marked_one_arg_twice ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_one_arg_twice0
collected 0 items

============================ no tests ran in 0.00s =============================
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_one_arg_twice0
collected 0 items

============================ no tests ran in 0.00s =============================
__________________ TestEvaluation.test_marked_one_arg_twice2 ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_one_arg_twice20
collected 0 items

============================ no tests ran in 0.00s =============================
________ TestEvaluation.test_marked_skipif_with_boolean_without_reason _________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_skipif_with_boolean_without_reason0
collected 0 items

============================ no tests ran in 0.00s =============================
____________ TestEvaluation.test_marked_skipif_with_invalid_boolean ____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_marked_skipif_with_invalid_boolean0
collected 0 items

============================ no tests ran in 0.00s =============================
_______________________ TestEvaluation.test_skipif_class _______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_class0
collected 0 items

============================ no tests ran in 0.00s =============================
______________________ TestXFail.test_xfail_simple[True] _______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_simple0
collected 0 items

============================ no tests ran in 0.00s =============================
______________________ TestXFail.test_xfail_simple[False] ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_simple1
collected 0 items

============================ no tests ran in 0.00s =============================
_________________________ TestXFail.test_xfail_xpassed _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_xpassed0
collected 0 items

============================ no tests ran in 0.00s =============================
_____________________ TestXFail.test_xfail_using_platform ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_using_platform0
collected 0 items

============================ no tests ran in 0.00s =============================
_____________________ TestXFail.test_xfail_xpassed_strict ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_xpassed_strict0
collected 0 items

============================ no tests ran in 0.00s =============================
_______________________ TestXFail.test_xfail_run_anyway ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_run_anyway0
collected 2 items

test_xfail_run_anyway.py F.                                              [100%]

=================================== FAILURES ===================================
__________________________________ test_func ___________________________________

    @pytest.mark.xfail
    def test_func():
>       assert 0
E       assert 0

test_xfail_run_anyway.py:4: AssertionError
=========================== short test summary info ============================
FAILED test_xfail_run_anyway.py::test_func - assert 0
========================= 1 failed, 1 passed in 0.01s ==========================
________ TestXFail.test_xfail_run_with_skip_mark[test_input0-expected0] ________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_run_with_skip_mark0
collected 1 item

test_sample.py s                                                         [100%]

=========================== short test summary info ============================
SKIPPED [1] test_sample.py:2: unconditional skip
============================== 1 skipped in 0.01s ==============================
________ TestXFail.test_xfail_run_with_skip_mark[test_input1-expected1] ________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_run_with_skip_mark1
collected 1 item

test_sample.py s                                                         [100%]

=========================== short test summary info ============================
SKIPPED [1] test_sample.py:2: unconditional skip
============================== 1 skipped in 0.01s ==============================
___________________ TestXFail.test_xfail_evalfalse_but_fails ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_evalfalse_but_fails0
collected 0 items

============================ no tests ran in 0.00s =============================
___________________ TestXFail.test_xfail_not_report_default ____________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_not_report_default0
collecting ... collected 1 item

test_one.py::test_this XFAIL                                             [100%]

============================== 1 xfailed in 0.01s ==============================
_________________ TestXFail.test_xfail_not_run_xfail_reporting _________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_not_run_xfail_reporting0
collected 3 items

test_one.py xx.                                                          [100%]

=========================== short test summary info ============================
XFAIL test_one.py::test_this
  reason: [NOTRUN] noway
XFAIL test_one.py::test_this_true
  reason: [NOTRUN] condition: True
========================= 1 passed, 2 xfailed in 0.17s =========================
__________________ TestXFail.test_xfail_not_run_no_setup_run ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_not_run_no_setup_run0
collected 1 item

test_one.py x                                                            [100%]

=========================== short test summary info ============================
XFAIL test_one.py::test_this
  reason: [NOTRUN] hello
============================== 1 xfailed in 0.04s ==============================
__________________________ TestXFail.test_xfail_xpass __________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_xpass0
collected 1 item

test_one.py X                                                            [100%]

=========================== short test summary info ============================
XPASS test_one.py::test_that 
============================== 1 xpassed in 0.01s ==============================
_______________________ TestXFail.test_xfail_imperative ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative0
collected 1 item

test_xfail_imperative.py x                                               [100%]

============================== 1 xfailed in 0.01s ==============================
